id,category,slug,name,unit,original_price,sale_price,expiry_period,image,status,created_at,modified_at
81,15,me-den-huu-co-health-paradise,Mè đen hữu cơ Health Paradise,200g,55000,99000,7,image/products\me-den-huu-co-health-paradise_3nrDOGt.jpg,1,2023-12-13 15:13:27,2024-05-28 02:31:29
80,15,hat-hanh-nhan-huu-co-health-paradise,Hạt hạnh nhân hữu cơ Health Paradise,80g,142000,185000,7,image/products/hat-hanh-nhan-huu-co-health-paradise.jpg,1,2023-12-13 15:10:08,2024-05-28 02:12:12
79,15,hat-dieu-boc-vo-lua-huu-co,Hạt điều bóc vỏ lụa hữu cơ,350g,189000,265000,7,image/products/hat-dieu-boc-vo-lua-huu-co.jpg,1,2023-12-13 15:09:07,2024-05-28 02:12:33
78,15,hat-dieu-nuong-huu-co-mua,Hạt điều nướng hữu cơ Mùa,200g,144000,189000,7,image/products/hat-dieu-nuong-huu-co-mua.jpg,1,2023-12-13 15:08:20,2024-05-28 02:12:47
77,15,hat-bi-huu-co-health-paradise,Hạt bí hữu cơ Health Paradise,200g,120000,160000,7,image/products/hat-bi-huu-co-health-paradise.jpg,1,2023-12-13 15:07:35,2024-05-28 02:33:16
76,15,me-den-huu-co-mua,Mè đen hữu cơ Mùa,200g,66000,99000,7,image/products/me-den-huu-co-mua.jpg,1,2023-12-13 15:06:42,2024-05-28 02:31:50
75,14,dau-tay-trang-co-tu,Đậu tây trắng Cơ tu,500g,66000,99000,7,image/products/dau-trang-co-tu.jpg,1,2023-12-13 15:05:15,2024-05-28 02:13:13
74,14,dau-ga-huu-co-global-organics,Đậu gà hữu cơ Global Organics,400g,45000,65000,7,image/products/dau-ga-huu-co-global-organics.jpg,1,2023-12-13 15:04:20,2024-05-28 02:13:53
73,14,dau-xanh-huu-co-nguyen-vo-parliament,Đậu xanh hữu cơ nguyên vỏ Parliament,500g,77000,119000,7,image/products/dau-xanh-huu-co-nguyen-vo-parliament.jpg,1,2023-12-13 15:03:32,2024-05-28 02:14:09
72,14,dau-ga-huu-co-health-paradise,Đậu gà hữu cơ Health Paradise,500g,91000,138000,7,image/products/dau-ga-huu-co-health-paradise.jpg,1,2023-12-13 15:02:33,2024-05-28 02:14:35
